#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2020-02-27T16:24:53 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5e57ecdb58ba	
#INFO	-out.max=unlimited	
#INFO	queryParameters=30	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-nav=cat:J/AJ/140/34&tab:{J/AJ/140/34/table3}&key:source=J/AJ/140/34/table1&HTTPPRM:&&-ref=VIZ5e57ecdb58ba&-out.max=50&-out.form=Detailed results&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=Nova&-out=Year&-out=T0&-out=Tpeak&-out=Vpeak&-out=t2&-out=t3&-out=t6&-out=t9&-out=l_VQ&-out=VQ&-out=tQ&-out=n_tQ&-out=Class&-out=lc&-ignore=lc=*&lc=lc&-out=Simbad&Simbad=Simbad&-out=_RA&-out=_DE&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/AJ/140/34/table1&
#-source= J/AJ/140/34/table3
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-out=Nova
#-out=Year
#-out=T0
#-out=Tpeak
#-out=Vpeak
#-out=t2
#-out=t3
#-out=t6
#-out=t9
#-out=l_VQ
#-out=VQ
#-out=tQ
#-out=n_tQ
#-out=Class
#-out=lc
#-out=Simbad
#Simbad=Simbad
#-out=_RA
#-out=_DE
#-out.src=J/AJ/140/34/table1
#-source=J/AJ/140/34
#
#INFO	CatalogsExamined=2	
#  2 catalogues with potential matches were examined.
#

#RESOURCE=yCat_51400034
#Name: J/AJ/140/34
#Title: Classification of nova light curves (Strope+, 2010)
#Table	J_AJ_140_34_table3:
#Name: J/AJ/140/34/table3
#Title: Definitions and examples of light curve classes
#Column	Class	(A1)	[SPDCOFJ] Class code	[ucd=meta.code.class]
#Column	Def	(a102)	Definition	[ucd=meta.note]
#Column	Ex	(a31)	Examples	[ucd=meta.note]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref]
Class|Def|Ex|Simbad
 | | |
-|------------------------------------------------------------------------------------------------------|-------------------------------|------
S|Smooth; power-law decline with no major fluctuations                                                  |CP Lac, V1668 Cyg, V2275 Cyg   |Simbad
P|Plateau; smooth decline interrupted by a long-lasting nearly flat interval followed by steeper decline|V4633 Sgr, CP Pup, RS Oph      |Simbad
D|Dust dip; decline interrupted by fast decline, minimum, and recovery to just below original decline   |DQ Her, FH Ser, V705 Cas       |Simbad
C|Cusp; power-law decline plus secondary maximum with steepening rise then steep decline                |V2362 Cyg, V1493 Aql, V2491 Cyg|Simbad
O|Oscillations; smooth decline with interval showing quasi-sinusoidal variations                        |V603 Aql, GK Per, V1494 Aql    |Simbad
F|Flat topped; smooth light curve with an extended interval at the peak with near constant brightness   |DO Aql, V849 Oph, BT Mon       |Simbad
J|Jitter; decline displays substantial variability often as short-duration brightenings                 |DK Lac, HR Del, V723 Cas       |Simbad

#Table	J_AJ_140_34_table1:
#Name: J/AJ/140/34/table1
#Title: Catalogued novae and their primary light curve properties
#Column	Nova	(A9)	Nova name	[ucd=meta.id;meta.main]
#Column	Year	(I4)	Year of discovery	[ucd=time.epoch]
#Column	T0	(I7)	Fiducial time (JD)	[ucd=time.epoch]
#Column	Tpeak	(I7)	Peak time (JD)	[ucd=time.epoch]
#Column	Vpeak	(F4.1)	Peak magnitude	[ucd=phot.mag;em.opt.V]
#Column	t2	(I3)	Time to decline by 2mag from maximum	[ucd=time.interval]
#Column	t3	(I3)	Time to decline by 3mag from maximum	[ucd=time.interval]
#Column	t6	(I4)	? Time to decline by 6mag from maximum [NULL integer written as an empty string]	[ucd=time.interval]
#Column	t9	(I4)	? Time to decline by 9mag from maximum [NULL integer written as an empty string]	[ucd=time.interval]
#Column	l_VQ	(A1)	[~>] Limit flag on VQ	[ucd=meta.code.error]
#Column	VQ	(F4.1)	Magnitude in quiescence	[ucd=phot.mag;em.opt.V]
#Column	tQ	(I5)	? Time of quiescence [NULL integer written as an empty string]	[ucd=time.interval]
#Column	n_tQ	(A1)	[a] bright quiescence (1)	[ucd=meta.note]
#Column	Class	(A6)	Class (2)	[ucd=meta.code;src.var]
#Column	lc	(A2)	light curve	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
Nova|Year|T0|Tpeak|Vpeak|t2|t3|t6|t9|l_VQ|VQ|tQ|n_tQ|Class|lc|Simbad|_RA|_DE
V476 Cyg |2424420.000| 1861.00|12.61| 0.05|   9
V476 Cyg |2424484.000| 1925.00|12.58| 0.02|  16
V476 Cyg |2424548.000| 1989.00|12.60| 0.06|   7
V476 Cyg |2424612.000| 2053.00|12.84| 0.06|   7
V476 Cyg |2424676.000| 2117.00|12.80| 0.07|   5
V476 Cyg |2424740.000| 2181.00|12.93| 0.14|   4
V476 Cyg |2424804.000| 2245.00|13.15| 0.11|   2
V476 Cyg |2424868.000| 2309.00|13.40| 0.15|   1
V476 Cyg |2425380.000| 2821.00|11.50| 0.15|   1
V476 Cyg |2425700.000| 3141.00|12.85| 0.46|   2
V476 Cyg |2427332.000| 4773.00|13.80| 0.11|   2
V476 Cyg |2427460.000| 4901.00|13.40| 0.15|   1
V476 Cyg |2427588.000| 5029.00|13.37| 0.08|  24
V476 Cyg |2427716.000| 5157.00|13.85| 0.06|  41
V476 Cyg |2427844.000| 5285.00|14.11| 0.11|  12
V476 Cyg |2427972.000| 5413.00|13.99| 0.08|  41
V476 Cyg |2428100.000| 5541.00|13.99| 0.07|  24
V476 Cyg |2428228.000| 5669.00|14.20| 0.15|   1
V476 Cyg |2428356.000| 5797.00|14.12| 0.06|   6
V476 Cyg |2428484.000| 5925.00|13.97| 0.09|   3
V476 Cyg |2428740.000| 6181.00|14.36| 0.06|   8
V476 Cyg |2428868.000| 6309.00|14.32| 0.13|  10
V476 Cyg |2428996.000| 6437.00|14.30| 0.15|   1
V476 Cyg |2429124.000| 6565.00|15.45| 0.11|   2
V476 Cyg |2429252.000| 6693.00|15.42| 0.07|   5
V476 Cyg |2429636.000| 7077.00|15.80| 0.15|   1
V476 Cyg |2430404.000| 7845.00|13.20| 0.15|   1
V476 Cyg |2430660.000| 8101.00|13.00| 0.15|   1
V476 Cyg |2431236.000| 8677.00|12.90| 0.15|   1
V476 Cyg |2431748.000| 9189.00|13.80| 0.15|   1
V476 Cyg |2434436.000|11877.00|16.05| 0.11|   6
V476 Cyg |2434948.000|12389.00|16.24| 0.07|   5
V476 Cyg |2435460.000|12901.00|13.65| 0.32|   2
V476 Cyg |2435972.000|13413.00|16.33| 0.09|   3
V476 Cyg |2436484.000|13925.00|16.23| 0.09|   3
V476 Cyg |2436996.000|14437.00|15.76| 0.31|   7
V476 Cyg |2437508.000|14949.00|16.14| 0.04|  11
V476 Cyg |2438020.000|15461.00|16.18| 0.03|  17
V476 Cyg |2438532.000|15973.00|16.17| 0.03|  16
V476 Cyg |2439044.000|16485.00|16.07| 0.06|  20
V476 Cyg |2439556.000|16997.00|16.25| 0.06|  12
V476 Cyg |2440068.000|17509.00|16.13| 0.05|  11
V1330 Cyg|2440761.750|    0.75|10.23| 0.09|   3
V1330 Cyg|2440765.750|    4.75|10.35| 0.11|   2
V1330 Cyg|2440766.750|    5.75| 9.90| 0.11|   2
V1330 Cyg|2440767.750|    6.75|10.10| 0.15|   1
V1330 Cyg|2440773.000|   12.00|10.60| 0.09|   3
V1330 Cyg|2440775.000|   14.00|10.58| 0.06|   6
V1330 Cyg|2440777.000|   16.00|10.65| 0.11|   2
V1330 Cyg|2440779.000|   18.00|10.50| 0.15|   1
V1330 Cyg|2440781.000|   20.00|10.58| 0.08|   4
V1330 Cyg|2440783.000|   22.00|10.50| 0.15|   1
V1330 Cyg|2440785.000|   24.00|10.63| 0.10|   6
V1330 Cyg|2440787.000|   26.00|10.60| 0.11|   2
V1330 Cyg|2440789.000|   28.00|10.73| 0.14|   4
V1330 Cyg|2440791.000|   30.00|10.85| 0.18|   2
V1330 Cyg|2440793.000|   32.00|10.63| 0.06|   6
V1330 Cyg|2440795.000|   34.00|10.75| 0.13|   4
V1330 Cyg|2440797.000|   36.00|10.85| 0.10|   4
V1330 Cyg|2440799.000|   38.00|10.73| 0.09|   3
V1330 Cyg|2440802.000|   41.00|10.83| 0.07|  10
V1330 Cyg|2440806.000|   45.00|10.70| 0.07|   5
V1330 Cyg|2440810.000|   49.00|10.93| 0.07|   6
V1330 Cyg|2440814.000|   53.00|11.00| 0.15|   1
V1330 Cyg|2440818.000|   57.00|10.78| 0.14|   5
V1330 Cyg|2440822.000|   61.00|10.92| 0.06|  13
V1330 Cyg|2440826.000|   65.00|11.18| 0.07|  11
V1330 Cyg|2440830.000|   69.00|11.11| 0.06|  10
V1330 Cyg|2440834.000|   73.00|11.37| 0.10|   7
V1330 Cyg|2440838.000|   77.00|11.38| 0.08|   9
V1330 Cyg|2440842.000|   81.00|11.34| 0.10|   7
V1330 Cyg|2440846.000|   85.00|11.40| 0.11|   4
V1330 Cyg|2440850.000|   89.00|11.51| 0.11|   7
V1330 Cyg|2440856.000|   95.00|11.54| 0.06|  10
V1330 Cyg|2440864.000|  103.00|11.64| 0.03|  13
V1330 Cyg|2440872.000|  111.00|11.60| 0.11|   2
V1330 Cyg|2440880.000|  119.00|11.78| 0.05|  11
V1330 Cyg|2440888.000|  127.00|11.98| 0.13|   8
V1330 Cyg|2440896.000|  135.00|11.70| 0.15|   1
V1330 Cyg|2440904.000|  143.00|12.10| 0.07|   5
V1330 Cyg|2440912.000|  151.00|12.08| 0.07|   5
V1330 Cyg|2440920.000|  159.00|11.92| 0.10|   6
V1330 Cyg|2440928.000|  167.00|11.73| 0.27|   3
V1330 Cyg|2440936.000|  175.00|12.00| 0.11|   2
V1330 Cyg|2440944.000|  183.00|12.55| 0.32|   2
V1330 Cyg|2440952.000|  191.00|12.94| 0.33|   5
V1330 Cyg|2440960.000|  199.00|12.80| 0.28|   2
V1330 Cyg|2440976.000|  215.00|11.70| 0.15|   1
V1330 Cyg|2440984.000|  223.00|11.90| 0.15|   1
V1330 Cyg|2441044.000|  283.00|12.95| 0.18|   2
V1330 Cyg|2441060.000|  299.00|13.05| 0.32|   2
V1330 Cyg|2441076.000|  315.00|14.70| 0.15|   1
V1330 Cyg|2441092.000|  331.00|14.40| 0.28|   2
V1330 Cyg|2441108.000|  347.00|13.70| 0.09|   3
V1330 Cyg|2441124.000|  363.00|14.40| 0.15|   7
V1330 Cyg|2441140.000|  379.00|14.63| 0.13|   4
V1330 Cyg|2441156.000|  395.00|14.69| 0.06|   7
V1330 Cyg|2441172.000|  411.00|14.73| 0.10|   4
V1330 Cyg|2441188.000|  427.00|14.94| 0.13|   7
V1330 Cyg|2441204.000|  443.00|14.80| 0.15|   1
V1330 Cyg|2441228.000|  467.00|14.80| 0.09|   3
V1330 Cyg|2441260.000|  499.00|14.84| 0.22|   5
V1330 Cyg|2441292.000|  531.00|15.30| 0.15|   1
V1330 Cyg|2441324.000|  563.00|15.43| 0.10|   3
V1330 Cyg|2441516.000|  755.00|14.63| 0.28|   3
V1330 Cyg|2441548.000|  787.00|14.83| 0.06|   7
V1330 Cyg|2441580.000|  819.00|14.90| 0.09|   5
V1330 Cyg|2441612.000|  851.00|14.80| 0.40|   3
V1330 Cyg|2441644.000|  883.00|14.60| 0.15|   1
V1330 Cyg|2441868.000| 1107.00|15.50| 0.15|   1
V1330 Cyg|2441996.000| 1235.00|14.80| 0.15|   1
V1500 Cyg|2442654.250|    0.25| 2.44| 0.02|  90
V1500 Cyg|2442654.750|    0.75| 2.13| 0.02| 103
V1500 Cyg|2442655.250|    1.25| 1.88| 0.03|  38
V1500 Cyg|2442655.750|    1.75| 1.88| 0.02|  90
V1500 Cyg|2442656.250|    2.25| 2.16| 0.03|  39
V1500 Cyg|2442656.750|    2.75| 2.41| 0.03|  90
V1500 Cyg|2442657.250|    3.25| 3.38| 0.03|  33
V1500 Cyg|2442657.750|    3.75| 3.71| 0.03|  73
V1500 Cyg|2442658.250|    4.25| 4.28| 0.04|  33
V1500 Cyg|2442658.750|    4.75| 4.41| 0.02|  81
V1500 Cyg|2442659.250|    5.25| 4.67| 0.05|  26
V1500 Cyg|2442659.750|    5.75| 4.88| 0.03|  73
V1500 Cyg|2442660.500|    6.50| 5.15| 0.03|  90
V1500 Cyg|2442661.500|    7.50| 5.49| 0.04|  69
V1500 Cyg|2442662.500|    8.50| 5.81| 0.03|  70
V1500 Cyg|2442663.500|    9.50| 6.10| 0.03|  81
V1500 Cyg|2442664.500|   10.50| 6.29| 0.02|  85
V1500 Cyg|2442665.500|   11.50| 6.46| 0.02|  78
V1500 Cyg|2442666.500|   12.50| 6.58| 0.03|  60
V1500 Cyg|2442667.500|   13.50| 6.67| 0.03|  36
V1500 Cyg|2442668.500|   14.50| 6.79| 0.03|  42
V1500 Cyg|2442669.500|   15.50| 6.86| 0.03|  60
V1500 Cyg|2442670.500|   16.50| 6.93| 0.03|  52
V1500 Cyg|2442671.500|   17.50| 6.91| 0.04|  36
V1500 Cyg|2442672.500|   18.50| 7.01| 0.04|  35
V1500 Cyg|2442673.500|   19.50| 7.13| 0.03|  39
V1500 Cyg|2442674.500|   20.50| 7.16| 0.03|  42
V1500 Cyg|2442675.500|   21.50| 7.24| 0.03|  41
V1500 Cyg|2442676.500|   22.50| 7.35| 0.05|  28
V1500 Cyg|2442677.500|   23.50| 7.39| 0.04|  45
V1500 Cyg|2442678.500|   24.50| 7.45| 0.04|  40
V1500 Cyg|2442679.500|   25.50| 7.35| 0.06|  22
V1500 Cyg|2442680.500|   26.50| 7.52| 0.06|  25
V1500 Cyg|2442681.500|   27.50| 7.63| 0.04|  34
V1500 Cyg|2442682.500|   28.50| 7.60| 0.04|  50
V1500 Cyg|2442683.500|   29.50| 7.69| 0.04|  49
V1500 Cyg|2442684.500|   30.50| 7.65| 0.03|  49
V1500 Cyg|2442685.500|   31.50| 7.73| 0.04|  49
V1500 Cyg|2442686.500|   32.50| 7.77| 0.05|  37
V1500 Cyg|2442687.500|   33.50| 7.73| 0.06|  23
V1500 Cyg|2442688.500|   34.50| 7.97| 0.03|  47
V1500 Cyg|2442689.500|   35.50| 7.86| 0.04|  43
V1500 Cyg|2442690.500|   36.50| 7.89| 0.04|  36
V1500 Cyg|2442691.500|   37.50| 7.86| 0.08|   8
V1500 Cyg|2442692.500|   38.50| 8.05| 0.03|  50
V1500 Cyg|2442693.500|   39.50| 8.07| 0.04|  38
V1500 Cyg|2442694.500|   40.50| 8.30| 0.06|  26
V1500 Cyg|2442695.500|   41.50| 8.19| 0.07|  21
V1500 Cyg|2442696.500|   42.50| 8.33| 0.06|  18
V1500 Cyg|2442697.500|   43.50| 8.19| 0.05|  35
V1500 Cyg|2442698.500|   44.50| 8.35| 0.04|  28
V1500 Cyg|2442699.500|   45.50| 8.47| 0.07|  15
V1500 Cyg|2442700.500|   46.50| 8.42| 0.08|  11
V1500 Cyg|2442701.500|   47.50| 8.53| 0.05|  18
V1500 Cyg|2442702.500|   48.50| 8.60| 0.06|  10
V1500 Cyg|2442703.500|   49.50| 8.46| 0.07|   5
V1500 Cyg|2442704.500|   50.50| 8.50| 0.14|   2
V1500 Cyg|2442705.500|   51.50| 8.55| 0.15|   6
V1500 Cyg|2442706.500|   52.50| 8.64| 0.08|  10
V1500 Cyg|2442707.500|   53.50| 8.72| 0.05|  15
V1500 Cyg|2442708.500|   54.50| 8.70| 0.04|  23
V1500 Cyg|2442709.500|   55.50| 8.73| 0.04|  36
V1500 Cyg|2442710.500|   56.50| 8.76| 0.06|  22
V1500 Cyg|2442711.500|   57.50| 8.73| 0.05|  18
V1500 Cyg|2442712.500|   58.50| 8.79| 0.07|  18
V1500 Cyg|2442713.500|   59.50| 8.71| 0.04|  22
V1500 Cyg|2442714.500|   60.50| 8.80| 0.05|  25
V1500 Cyg|2442715.500|   61.50| 8.83| 0.06|  17
V1500 Cyg|2442716.500|   62.50| 8.90| 0.05|  24
V1500 Cyg|2442717.500|   63.50| 8.93| 0.05|  27
V1500 Cyg|2442718.500|   64.50| 8.97| 0.06|  20
V1500 Cyg|2442719.500|   65.50| 8.92| 0.06|  13
V1500 Cyg|2442720.500|   66.50| 9.04| 0.10|  12
V1500 Cyg|2442721.500|   67.50| 9.00| 0.05|  32
V1500 Cyg|2442722.500|   68.50| 8.93| 0.04|  21
V1500 Cyg|2442723.500|   69.50| 8.94| 0.05|  13
V1500 Cyg|2442724.500|   70.50| 8.93| 0.09|   8
V1500 Cyg|2442725.500|   71.50| 9.02| 0.06|  20
V1500 Cyg|2442726.500|   72.50| 9.13| 0.07|  16
V1500 Cyg|2442727.500|   73.50| 9.04| 0.05|  24
V1500 Cyg|2442728.500|   74.50| 9.09| 0.06|  18
V1500 Cyg|2442729.500|   75.50| 9.23| 0.14|   4
V1500 Cyg|2442730.500|   76.50| 9.03| 0.08|   7
V1500 Cyg|2442731.500|   77.50| 9.20| 0.07|  10
V1500 Cyg|2442732.500|   78.50| 9.32| 0.09|  17
V1500 Cyg|2442733.500|   79.50| 9.25| 0.10|  13
V1500 Cyg|2442734.500|   80.50| 9.39| 0.17|   7
V1500 Cyg|2442735.500|   81.50| 9.19| 0.09|  12
V1500 Cyg|2442736.500|   82.50| 9.19| 0.11|  10
V1500 Cyg|2442737.500|   83.50| 9.35| 0.08|  11
V1500 Cyg|2442738.500|   84.50| 9.13| 0.12|   8
V1500 Cyg|2442739.500|   85.50| 9.27| 0.07|  26
V1500 Cyg|2442740.500|   86.50| 9.39| 0.07|  23
V1500 Cyg|2442741.500|   87.50| 9.35| 0.07|  17
V1500 Cyg|2442742.500|   88.50| 9.34| 0.08|   7
V1500 Cyg|2442743.500|   89.50| 9.32| 0.10|  13
V1500 Cyg|2442744.500|   90.50| 9.54| 0.10|  13
V1500 Cyg|2442745.500|   91.50| 9.52| 0.09|  18
V1500 Cyg|2442746.500|   92.50| 9.42| 0.11|  11
V1500 Cyg|2442747.500|   93.50| 9.37| 0.11|  12
V1500 Cyg|2442748.500|   94.50| 9.51| 0.08|  20
V1500 Cyg|2442749.500|   95.50| 9.47| 0.08|  18
V1500 Cyg|2442752.000|   98.00| 9.58| 0.04|  62
V1500 Cyg|2442756.000|  102.00| 9.57| 0.05|  46
V1500 Cyg|2442760.000|  106.00| 9.86| 0.04|  21
V1500 Cyg|2442764.000|  110.00| 9.86| 0.05|  26
V1500 Cyg|2442768.000|  114.00| 9.89| 0.06|  27
V1500 Cyg|2442772.000|  118.00| 9.89| 0.05|  19
V1500 Cyg|2442776.000|  122.00| 9.94| 0.03|  34
V1500 Cyg|2442780.000|  126.00| 9.99| 0.04|  26
V1500 Cyg|2442784.000|  130.00|10.08| 0.04|  42
V1500 Cyg|2442788.000|  134.00|10.07| 0.03|  27
V1500 Cyg|2442792.000|  138.00|10.18| 0.06|  24
V1500 Cyg|2442796.000|  142.00|10.15| 0.04|  37
V1500 Cyg|2442800.000|  146.00|10.18| 0.03|  19
V1500 Cyg|2442804.000|  150.00|10.18| 0.04|  16
V1500 Cyg|2442808.000|  154.00|10.28| 0.04|  26
V1500 Cyg|2442812.000|  158.00|10.28| 0.04|  19
V1500 Cyg|2442816.000|  162.00|10.30| 0.04|  20
V1500 Cyg|2442820.000|  166.00|10.27| 0.05|  11
V1500 Cyg|2442824.000|  170.00|10.42| 0.07|   5
V1500 Cyg|2442828.000|  174.00|10.42| 0.05|   9
V1500 Cyg|2442832.000|  178.00|10.30| 0.07|   9
V1500 Cyg|2442836.000|  182.00|10.38| 0.04|  13
V1500 Cyg|2442840.000|  186.00|10.50| 0.04|  20
V1500 Cyg|2442844.000|  190.00|10.50| 0.06|  11
V1500 Cyg|2442848.000|  194.00|10.43| 0.08|   7
V1500 Cyg|2442852.000|  198.00|10.50| 0.12|   3
V1500 Cyg|2442856.000|  202.00|10.70| 0.11|   2
V1500 Cyg|2442860.000|  206.00|10.64| 0.11|   8
V1500 Cyg|2442864.000|  210.00|10.47| 0.05|   9
V1500 Cyg|2442868.000|  214.00|10.63| 0.06|  15
V1500 Cyg|2442872.000|  218.00|10.56| 0.06|  15
V1500 Cyg|2442876.000|  222.00|10.52| 0.05|  11
V1500 Cyg|2442880.000|  226.00|10.63| 0.07|  12
V1500 Cyg|2442884.000|  230.00|10.65| 0.11|   2
V1500 Cyg|2442888.000|  234.00|10.79| 0.05|  12
V1500 Cyg|2442892.000|  238.00|10.78| 0.06|  13
V1500 Cyg|2442896.000|  242.00|10.72| 0.07|  13
V1500 Cyg|2442900.000|  246.00|10.86| 0.08|  17
V1500 Cyg|2442904.000|  250.00|10.86| 0.05|  15
V1500 Cyg|2442908.000|  254.00|10.89| 0.07|  16
V1500 Cyg|2442912.000|  258.00|10.94| 0.12|   5
V1500 Cyg|2442916.000|  262.00|10.95| 0.10|  11
V1500 Cyg|2442920.000|  266.00|10.81| 0.05|  15
V1500 Cyg|2442924.000|  270.00|11.05| 0.08|  13
V1500 Cyg|2442928.000|  274.00|11.04| 0.07|  12
V1500 Cyg|2442932.000|  278.00|11.07| 0.07|  15
V1500 Cyg|2442936.000|  282.00|11.14| 0.05|  32
V1500 Cyg|2442940.000|  286.00|11.32| 0.11|  11
V1500 Cyg|2442944.000|  290.00|11.11| 0.09|   8
V1500 Cyg|2442948.000|  294.00|11.15| 0.05|  29
V1500 Cyg|2442952.000|  298.00|11.28| 0.10|  16
V1500 Cyg|2442956.000|  302.00|11.16| 0.04|  32
V1500 Cyg|2442960.000|  306.00|11.31| 0.06|  29
V1500 Cyg|2442964.000|  310.00|11.26| 0.06|  34
V1500 Cyg|2442968.000|  314.00|11.36| 0.10|  14
V1500 Cyg|2442972.000|  318.00|11.29| 0.11|   7
V1500 Cyg|2442976.000|  322.00|11.22| 0.04|  30
V1500 Cyg|2442980.000|  326.00|11.19| 0.05|  26
V1500 Cyg|2442984.000|  330.00|11.27| 0.06|  25
V1500 Cyg|2442988.000|  334.00|11.41| 0.07|  23
V1500 Cyg|2442992.000|  338.00|11.28| 0.05|  30
V1500 Cyg|2442996.000|  342.00|11.45| 0.06|  25
V1500 Cyg|2443000.000|  346.00|11.68| 0.09|  10
V1500 Cyg|2443004.000|  350.00|11.48| 0.09|  24
V1500 Cyg|2443008.000|  354.00|11.49| 0.05|  43
V1500 Cyg|2443012.000|  358.00|11.49| 0.04|  43
V1500 Cyg|2443016.000|  362.00|11.58| 0.07|  25
V1500 Cyg|2443020.000|  366.00|11.48| 0.05|  37
V1500 Cyg|2443024.000|  370.00|11.46| 0.07|  15
V1500 Cyg|2443028.000|  374.00|11.47| 0.06|  25
V1500 Cyg|2443032.000|  378.00|11.50| 0.06|  15
V1500 Cyg|2443036.000|  382.00|11.51| 0.07|  17
V1500 Cyg|2443040.000|  386.00|11.68| 0.05|  21
V1500 Cyg|2443044.000|  390.00|11.72| 0.05|  28
V1500 Cyg|2443048.000|  394.00|11.75| 0.05|  20
V1500 Cyg|2443052.000|  398.00|11.67| 0.07|  13
V1500 Cyg|2443056.000|  402.00|11.76| 0.09|  10
V1500 Cyg|2443060.000|  406.00|11.78| 0.06|  11
V1500 Cyg|2443064.000|  410.00|11.78| 0.06|  21
V1500 Cyg|2443068.000|  414.00|11.74| 0.06|  15
V1500 Cyg|2443072.000|  418.00|11.80| 0.06|  11
V1500 Cyg|2443076.000|  422.00|11.89| 0.04|  14
V1500 Cyg|2443080.000|  426.00|11.91| 0.05|  19
V1500 Cyg|2443084.000|  430.00|11.99| 0.08|  14
V1500 Cyg|2443088.000|  434.00|11.92| 0.11|  10
V1500 Cyg|2443092.000|  438.00|11.92| 0.07|   9
V1500 Cyg|2443096.000|  442.00|11.86| 0.07|  17
V1500 Cyg|2443100.000|  446.00|11.95| 0.06|  18
V1500 Cyg|2443106.000|  452.00|11.91| 0.03|  38
V1500 Cyg|2443114.000|  460.00|11.98| 0.04|  24
V1500 Cyg|2443122.000|  468.00|11.95| 0.05|  18
V1500 Cyg|2443130.000|  476.00|12.11| 0.05|  24
V1500 Cyg|2443138.000|  484.00|12.09| 0.05|  25
V1500 Cyg|2443146.000|  492.00|12.28| 0.05|  12
V1500 Cyg|2443154.000|  500.00|12.26| 0.05|  16
V1500 Cyg|2443162.000|  508.00|12.32| 0.06|  17
V1500 Cyg|2443170.000|  516.00|12.47| 0.05|   9
V1500 Cyg|2443178.000|  524.00|12.37| 0.05|   9
V1500 Cyg|2443186.000|  532.00|12.47| 0.09|   3
V1500 Cyg|2443194.000|  540.00|12.20| 0.12|   3
V1500 Cyg|2443202.000|  548.00|12.44| 0.07|   5
V1500 Cyg|2443218.000|  564.00|12.52| 0.07|   5
V1500 Cyg|2443226.000|  572.00|12.53| 0.09|   3
V1500 Cyg|2443234.000|  580.00|12.65| 0.05|   8
V1500 Cyg|2443242.000|  588.00|12.60| 0.04|  13
V1500 Cyg|2443250.000|  596.00|12.62| 0.05|  19
V1500 Cyg|2443258.000|  604.00|12.58| 0.08|   4
V1500 Cyg|2443266.000|  612.00|12.53| 0.08|   4
V1500 Cyg|2443274.000|  620.00|12.82| 0.09|   6
V1500 Cyg|2443282.000|  628.00|12.71| 0.06|  14
V1500 Cyg|2443290.000|  636.00|12.78| 0.03|  31
V1500 Cyg|2443298.000|  644.00|12.73| 0.05|   9
V1500 Cyg|2443306.000|  652.00|12.95| 0.08|  14
V1500 Cyg|2443314.000|  660.00|13.11| 0.06|  18
V1500 Cyg|2443322.000|  668.00|12.96| 0.08|  11
V1500 Cyg|2443330.000|  676.00|13.07| 0.09|  13
V1500 Cyg|2443338.000|  684.00|13.02| 0.05|  28
V1500 Cyg|2443346.000|  692.00|13.08| 0.05|  27
V1500 Cyg|2443354.000|  700.00|13.13| 0.07|  12
V1500 Cyg|2443362.000|  708.00|13.08| 0.07|  16
V1500 Cyg|2443370.000|  716.00|13.16| 0.07|  21
V1500 Cyg|2443378.000|  724.00|13.20| 0.06|  17
V1500 Cyg|2443386.000|  732.00|13.32| 0.15|   6
V1500 Cyg|2443394.000|  740.00|13.33| 0.07|  22
V1500 Cyg|2443402.000|  748.00|13.30| 0.05|  16
V1500 Cyg|2443410.000|  756.00|13.23| 0.10|   3
V1500 Cyg|2443418.000|  764.00|13.43| 0.06|  13
V1500 Cyg|2443426.000|  772.00|13.43| 0.08|   6
V1500 Cyg|2443434.000|  780.00|13.35| 0.10|   8
V1500 Cyg|2443442.000|  788.00|13.40| 0.08|   4
V1500 Cyg|2443450.000|  796.00|13.40| 0.06|  12
V1500 Cyg|2443458.000|  804.00|13.56| 0.10|   7
V1500 Cyg|2443466.000|  812.00|13.38| 0.08|   4
V1500 Cyg|2443482.000|  828.00|13.46| 0.11|   5
V1500 Cyg|2443490.000|  836.00|13.50| 0.15|   4
V1500 Cyg|2443498.000|  844.00|13.30| 0.15|   1
V1500 Cyg|2443506.000|  852.00|13.53| 0.11|   4
V1500 Cyg|2443514.000|  860.00|13.63| 0.08|   4
V1500 Cyg|2443522.000|  868.00|13.30| 0.15|   1
V1500 Cyg|2443530.000|  876.00|13.50| 0.15|   1
V1500 Cyg|2443582.000|  928.00|13.68| 0.09|   5
V1500 Cyg|2443646.000|  992.00|13.99| 0.05|  29
V1500 Cyg|2443710.000| 1056.00|14.13| 0.04|  33
V1500 Cyg|2443774.000| 1120.00|14.38| 0.04|  43
